"brood_year","hatchery_location_name","tag_code","Total_Released","Phi"
2007,"COLEMAN NFH","54394",455683,0.249833766017165
2000,"COLEMAN NFH","50570",438205,0.148289042799603
2000,"COLEMAN NFH","50566",427686,0.150762475273916
2000,"COLEMAN NFH","501030508",429079,0.139536076107197
2000,"COLEMAN NFH","501030509",479476,0.12137625240888
2000,"COLEMAN NFH","501030502",49549,0.899997981795798
2000,"COLEMAN NFH","501030503",436510,0.132633845730911
2007,"COLEMAN NFH","54466",892027,0.249889297072846
2007,"COLEMAN NFH","54467",900466,0.249523024744965
2018,"COLEMAN NFH","56318",89515,0.99499525219237
2018,"COLEMAN NFH","56294",382044,0.248997497670425
2018,"COLEMAN NFH","56307",462409,0.249214440030363
2018,"COLEMAN NFH","56308",489294,0.248586739261058
2018,"COLEMAN NFH","56309",466707,0.248558517442421
2018,"COLEMAN NFH","56310",476647,0.249142447135931
2018,"COLEMAN NFH","56311",463231,0.249251453378552
2018,"COLEMAN NFH","56312",506203,0.248586041568304
2018,"COLEMAN NFH","56314",495633,0.24867593562172
2018,"COLEMAN NFH","56313",414787,0.249139920007136
2018,"COLEMAN NFH","56315",470096,0.248008917327525
2018,"COLEMAN NFH","56316",470878,0.247924090741126
2018,"COLEMAN NFH","56317",456692,0.249255515752411
2018,"COLEMAN NFH","56319",84396,1
2018,"COLEMAN NFH","56320",87932,0.990003639175727
2018,"COLEMAN NFH","56321",88039,0.995002214927475
2006,"COLEMAN NFH","53865",212280,0.196768419069154
2008,"COLEMAN NFH","54881",426439,0.249815331149355
2010,"COLEMAN NFH","55378",454901,0.249913717490179
2010,"COLEMAN NFH","55379",427129,0.249924495878294
2010,"COLEMAN NFH","55380",439864,0.249831766182275
2011,"COLEMAN NFH","55514",337166,0.249856153941975
2000,"COLEMAN NFH","501030602",424553,0.143847764590051
2014,"COLEMAN NFH","55789",437963,0.249831606779568
2014,"COLEMAN NFH","55790",426854,0.249766899220811
2014,"COLEMAN NFH","55791",424244,0.249877429026692
2014,"COLEMAN NFH","55792",412652,0.249910336070103
2014,"COLEMAN NFH","55793",445036,0.249896637575387
2015,"COLEMAN NFH","55952",405739,0.249764010854268
2015,"COLEMAN NFH","52489",49260,0.25
2015,"COLEMAN NFH","55953",416390,0.249823482792574
2015,"COLEMAN NFH","55971",467206,0.249110670667757
2015,"COLEMAN NFH","55972",391253,0.249779554405973
2015,"COLEMAN NFH","55973",466930,0.249793330906132
2015,"COLEMAN NFH","55974",379596,0.249891990431933
2015,"COLEMAN NFH","55970",396580,0.249785667456755
2015,"COLEMAN NFH","55978",468297,0.249843582171144
2015,"COLEMAN NFH","55979",446669,0.249274070956346
2015,"COLEMAN NFH","55976",462620,0.249842203104059
2015,"COLEMAN NFH","55975",442147,0.247336293133279
2015,"COLEMAN NFH","55977",452057,0.249791508592943
2015,"COLEMAN NFH","55960",361668,0.249845161861154
2015,"COLEMAN NFH","55961",446669,0.249869590233484
2015,"COLEMAN NFH","55954",405897,0.24773526288689
2015,"COLEMAN NFH","55955",467583,0.249596328352399
2015,"COLEMAN NFH","55958",429331,0.25089965551055
2015,"COLEMAN NFH","55963",465679,0.249259683172314
2015,"COLEMAN NFH","55964",368987,0.2485588923187
2015,"COLEMAN NFH","55969",479953,0.249230653834855
2015,"COLEMAN NFH","55967",388572,0.249197060004324
2015,"COLEMAN NFH","55968",476605,0.24921685672622
2015,"COLEMAN NFH","55965",464518,0.24987836854546
2015,"COLEMAN NFH","55966",452343,0.249852434988493
2001,"COLEMAN NFH","50884",427070,0.18530451682394
2001,"COLEMAN NFH","50885",377431,0.207346508368417
2001,"COLEMAN NFH","50886",300800,0.261439494680851
2001,"COLEMAN NFH","50887",407388,0.191549579270867
2007,"COLEMAN NFH","54398",438067,0.249493798893777
2007,"COLEMAN NFH","501040906",24722,0.959995146023784
2001,"COLEMAN NFH","501040302",50457,0.995005648373863
2001,"COLEMAN NFH","501040301",50211,0.975005476887535
2001,"COLEMAN NFH","501040209",501885,0.142911224682945
2001,"COLEMAN NFH","501040208",401192,0.183061975313566
2001,"COLEMAN NFH","501040207",401987,0.179172460800971
2001,"COLEMAN NFH","501040206",446824,0.16182210445276
2001,"COLEMAN NFH","501040205",469578,0.152266503115563
2001,"COLEMAN NFH","501040303",50125,0.984997506234414
2001,"COLEMAN NFH","501040201",488264,0.147592286140285
2001,"COLEMAN NFH","501040106",377170,0.188053132539704
2001,"COLEMAN NFH","50875",386940,0.201659171964646
2001,"COLEMAN NFH","50876",451273,0.171483780328094
2001,"COLEMAN NFH","50877",458528,0.170092120873753
2001,"COLEMAN NFH","50878",474788,0.162647328913115
2001,"COLEMAN NFH","50881",436077,0.180926762934069
2001,"COLEMAN NFH","501040105",298980,0.235156197738979
2001,"COLEMAN NFH","501040107",407395,0.180242761938659
2007,"COLEMAN NFH","501040901",23916,0.984989128616826
2007,"COLEMAN NFH","501040902",25549,0.994990019178833
2007,"COLEMAN NFH","501040903",25191,0.979992854590925
2007,"COLEMAN NFH","501040904",25863,0.995012179561536
2007,"COLEMAN NFH","501040907",25205,0.990001983733386
2007,"COLEMAN NFH","501040908",25622,0.969986730153774
2007,"COLEMAN NFH","54391",445018,0.249789896139033
2007,"COLEMAN NFH","54395",437185,0.249887347461601
2007,"COLEMAN NFH","54397",443763,0.246027722004764
2007,"COLEMAN NFH","54469",898670,0.249583273059076
2007,"COLEMAN NFH","54470",895009,0.247209804594144
2000,"COLEMAN NFH","501030603",441087,0.140004126170121
2000,"COLEMAN NFH","501030604",526165,0.11845143633651
2000,"COLEMAN NFH","501030605",427356,0.142969795673864
2000,"COLEMAN NFH","501030606",446455,0.141705211051506
2000,"COLEMAN NFH","501030607",457156,0.139289432928803
2000,"COLEMAN NFH","501030608",460207,0.137472919794788
2000,"COLEMAN NFH","50573",460055,0.139352903457195
2000,"COLEMAN NFH","50568",447606,0.146657998328887
2000,"COLEMAN NFH","50565",446227,0.14383934634166
2000,"COLEMAN NFH","50572",431555,0.151781348843137
2000,"COLEMAN NFH","50571",470437,0.13915359548675
2000,"COLEMAN NFH","50567",427988,0.145805489873548
2000,"COLEMAN NFH","50569",412665,0.158373014430591
2000,"COLEMAN NFH","50498",478248,0.136774225924625
2000,"COLEMAN NFH","50564",436265,0.13483089406668
2000,"COLEMAN NFH","50499",381699,0.162719839454649
2000,"COLEMAN NFH","50497",361874,0.18038046391838
2000,"COLEMAN NFH","501030507",433804,0.136257388129201
2000,"COLEMAN NFH","501030504",446630,0.139484584555449
2000,"COLEMAN NFH","501030505",428584,0.143213465738338
2000,"COLEMAN NFH","501030506",526343,0.11899844778025
2000,"COLEMAN NFH","501030105",50200,0.985
2000,"COLEMAN NFH","501030501",50449,0.919998414240124
2000,"COLEMAN NFH","501021515",50477,0.930007726291182
2013,"COLEMAN NFH","55694",433134,0.249206942886035
2013,"COLEMAN NFH","55695",434973,0.249431573913783
2013,"COLEMAN NFH","55696",455405,0.248148351467375
2013,"COLEMAN NFH","55697",836493,0.249826358379568
2013,"COLEMAN NFH","55698",786566,0.24983663163676
2013,"COLEMAN NFH","55699",862591,0.249829873022093
2013,"COLEMAN NFH","55704",867431,0.249706316698389
2013,"COLEMAN NFH","55705",844549,0.246033089850322
2013,"COLEMAN NFH","55706",859946,0.248426063962156
2013,"COLEMAN NFH","55707",1264617,0.24987565405178
2013,"COLEMAN NFH","55708",1217146,0.249774472413334
2013,"COLEMAN NFH","55709",1639857,0.249826661715015
2014,"COLEMAN NFH","55795",461069,0.249869325415502
2014,"COLEMAN NFH","55796",367099,0.249741895238069
2014,"COLEMAN NFH","55797",411194,0.249201107020044
2014,"COLEMAN NFH","55799",452447,0.249839207686204
2014,"COLEMAN NFH","55804",440001,0.249090342976493
2014,"COLEMAN NFH","55780",424013,0.249192831351869
2006,"COLEMAN NFH","501040807",26153,0.985011279776699
2006,"COLEMAN NFH","53798",212264,0.30194945916406
2006,"COLEMAN NFH","501040804",25951,0.914993641863512
2006,"COLEMAN NFH","501040801",23704,0.960006749915626
2006,"COLEMAN NFH","501040802",24560,1
2006,"COLEMAN NFH","501040803",25930,0.994986502121095
2006,"COLEMAN NFH","501040805",25784,0.955010859447719
2006,"COLEMAN NFH","501040806",25074,0.985004387014437
2006,"COLEMAN NFH","501040808",25436,0.949992137128479
2006,"COLEMAN NFH","53794",5103834,0.250478561802755
2006,"COLEMAN NFH","53795",5686939,0.251925156925369
2006,"COLEMAN NFH","53796",236870,0.273926626419555
2006,"COLEMAN NFH","53797",236870,0.195790940178157
2006,"COLEMAN NFH","53799",212264,0.184713375796178
2006,"COLEMAN NFH","53864",212280,0.304621254946297
2008,"COLEMAN NFH","54887",464199,0.249821735936527
2008,"COLEMAN NFH","54870",504965,0.249809392730189
2008,"COLEMAN NFH","54871",554218,0.248638622347163
2008,"COLEMAN NFH","54872",477904,0.249822140011383
2008,"COLEMAN NFH","54873",519496,0.24987102884334
2008,"COLEMAN NFH","54874",472760,0.249843472374989
2008,"COLEMAN NFH","54875",452278,0.24979990183029
2008,"COLEMAN NFH","54876",423393,0.249779755451791
2008,"COLEMAN NFH","54877",433796,0.249741814124612
2008,"COLEMAN NFH","54878",475025,0.24989421609389
2008,"COLEMAN NFH","54879",432485,0.249213267512168
2008,"COLEMAN NFH","54880",478210,0.249919491436816
2008,"COLEMAN NFH","54882",476361,0.249296227021104
2008,"COLEMAN NFH","54883",435683,0.249867449498833
2008,"COLEMAN NFH","54884",464565,0.249226695941365
2008,"COLEMAN NFH","54885",459239,0.249845940784646
2008,"COLEMAN NFH","54886",438478,0.249253098217014
2008,"COLEMAN NFH","54888",499986,0.249262979363422
2008,"COLEMAN NFH","54889",453635,0.249870490592657
2008,"COLEMAN NFH","54890",436862,0.249898137169175
2008,"COLEMAN NFH","54892",485121,0.249271831151403
2008,"COLEMAN NFH","54893",475990,0.249830878799975
2009,"COLEMAN NFH","55182",347145,0.248605049763067
2009,"COLEMAN NFH","55188",473408,0.248559382181966
2009,"COLEMAN NFH","55195",462114,0.243864068173654
2009,"COLEMAN NFH","55223",407092,0.249847700274139
2009,"COLEMAN NFH","55196",422181,0.249276968883015
2009,"COLEMAN NFH","55198",415861,0.249891189604219
2009,"COLEMAN NFH","55193",471077,0.249895452335818
2009,"COLEMAN NFH","55179",388093,0.247298972153582
2009,"COLEMAN NFH","55180",353678,0.249201250855298
2009,"COLEMAN NFH","55181",382172,0.248597490135332
2009,"COLEMAN NFH","55183",466477,0.249296321147666
2009,"COLEMAN NFH","55184",461099,0.24743276389669
2009,"COLEMAN NFH","55185",433641,0.249950996331066
2009,"COLEMAN NFH","55186",423325,0.249912006141853
2009,"COLEMAN NFH","55187",475732,0.249274801779153
2009,"COLEMAN NFH","55189",449982,0.249876661733136
2009,"COLEMAN NFH","55190",404139,0.24662801659825
2009,"COLEMAN NFH","55191",417332,0.249875398962936
2009,"COLEMAN NFH","55192",467369,0.249909600337207
2009,"COLEMAN NFH","55194",447684,0.249260639200865
2009,"COLEMAN NFH","55197",430756,0.249832852009026
2009,"COLEMAN NFH","55199",399738,0.249310798573065
2009,"COLEMAN NFH","55221",440293,0.248657144219872
2009,"COLEMAN NFH","55222",443647,0.248095896061508
2009,"COLEMAN NFH","55224",379733,0.248603624125372
2009,"COLEMAN NFH","55225",362881,0.249938685133694
2009,"COLEMAN NFH","55226",359462,0.2492558323272
2009,"COLEMAN NFH","55227",183350,0.246664848650123
2010,"COLEMAN NFH","55384",478005,0.249861403123398
2010,"COLEMAN NFH","55369",431483,0.249187105865121
2010,"COLEMAN NFH","55370",460230,0.249746865697586
2010,"COLEMAN NFH","55371",408600,0.24982868330886
2010,"COLEMAN NFH","55372",431656,0.249835517171081
2010,"COLEMAN NFH","55373",466683,0.249889111023971
2010,"COLEMAN NFH","55374",457155,0.248499961719767
2010,"COLEMAN NFH","55375",465542,0.24991515266077
2010,"COLEMAN NFH","55376",448682,0.249836186876229
2010,"COLEMAN NFH","55377",461775,0.24880298846841
2010,"COLEMAN NFH","55381",461809,0.246721047012943
2010,"COLEMAN NFH","55382",414776,0.247984454259649
2010,"COLEMAN NFH","55383",407778,0.249930109029913
2010,"COLEMAN NFH","55385",464572,0.249905289169386
2010,"COLEMAN NFH","55386",465878,0.249771399379237
2010,"COLEMAN NFH","55387",436507,0.249824172350043
2010,"COLEMAN NFH","55388",447841,0.249834204550276
2010,"COLEMAN NFH","55389",482880,0.249140573227303
2010,"COLEMAN NFH","55390",478147,0.24861391998695
2010,"COLEMAN NFH","55392",457438,0.249839322487419
2010,"COLEMAN NFH","55393",480817,0.248133905415158
2010,"COLEMAN NFH","55394",440713,0.249829253958926
2010,"COLEMAN NFH","55395",491646,0.249887113899025
2010,"COLEMAN NFH","55396",470726,0.249916087065512
2010,"COLEMAN NFH","55391",476158,0.249896042910126
2011,"COLEMAN NFH","55505",461002,0.249857918186906
2011,"COLEMAN NFH","55506",404833,0.249762247642855
2011,"COLEMAN NFH","55495",484804,0.248791264098481
2011,"COLEMAN NFH","55521",442422,0.249863252731555
2011,"COLEMAN NFH","55507",449103,0.249907036915808
2011,"COLEMAN NFH","55525",466197,0.249877197836966
2011,"COLEMAN NFH","55496",447972,0.24877447697624
2011,"COLEMAN NFH","55497",429609,0.248786687429733
2011,"COLEMAN NFH","55498",475844,0.248745387143686
2011,"COLEMAN NFH","55499",474258,0.248780199806856
2011,"COLEMAN NFH","55504",436650,0.24984312378335
